date,val,tweet,person,country
2017-03-28,-0.5,Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of  Uranium?,Trump,Russia
2017-03-30,-0.216666667,The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits...,Trump,China
2017-04-01,-0.05,"""..not associated with Russia. Trump team spied on before he was nominated."""" If this is true, does not get much bigger. Would be sad for U.S.""",Trump,Russia
2017-04-01,-0.166666667,"""It is the same Fake News Media that said there is """"no path to victory for Trump"""" that is now pushing the phony Russia story. A total scam!""",Trump,Russia
2017-04-01,-0.5,When will Sleepy Eyes Chuck Todd and @NBCNews start talking about the Obama SURVEILLANCE SCANDAL and stop with the Fake Trump/Russia story?,Trump,Russia
2017-04-03,0,Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?,Trump,Russia
2017-04-08,0.566666667,It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous...,Trump,China
2017-04-08,0.35,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",Trump,Syria
2017-04-11,0.4,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",Trump,China
2017-04-11,0.4,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",Trump,North Korea
2017-04-11,0.3625,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,Trump,China
2017-04-11,0.3625,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,Trump,North Korea
2017-04-12,0.455,Had a very good call last night with the President of China concerning the menace of North Korea.,Trump,China
2017-04-12,0.455,Had a very good call last night with the President of China concerning the menace of North Korea.,Trump,North Korea
2017-04-13,0.234126984,"Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses &, there will be lasting peace!",Trump,Russia
2017-04-13,0.058333333,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",Trump,China
2017-04-13,0.058333333,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",Trump,North Korea
2017-04-16,0,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,Trump,China
2017-04-16,0,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,Trump,North Korea
2017-04-21,0.297777778,"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will",Trump,China
2017-04-21,0.297777778,"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will",Trump,North Korea
2017-04-21,0.25,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!,Trump,France
2017-04-23,0.325,Very interesting election currently taking place in France.,Trump,France
2017-04-23,-0.2,"Eventually, but at a later date so we can get started early, Mexico will be paying, in some form, for the badly needed border wall.",Trump,Mexico
2017-04-25,-0.46875,Canada has made business for our dairy farmers in Wisconsin and other border states very difficult. We will not stand for this. Watch!,Trump,Canada
2017-04-27,0,I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed..,Trump,Canada
2017-04-27,0,I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed..,Trump,Mexico
2017-04-28,-0.3575,"North Korea disrespected the wishes of China &, its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",Trump,China
2017-04-28,-0.3575,"North Korea disrespected the wishes of China &, its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",Trump,North Korea
2017-05-03,0.375,...Trump/Russia story was an excuse used by the Democrats as justification for losing the election. Perhaps Trump just ran a great campaign?,Trump,Russia
2017-05-07,0.28125,Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,Trump,France
2017-05-07,-0.5,"When will the Fake Media ask about the Dems dealings with Russia &, why the DNC wouldn't allow the FBI to check their server or investigate?",Trump,Russia
2017-05-08,0,"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",Trump,Russia
2017-05-08,-0.5,"""Director Clapper reiterated what everybody, including the fake media already knows- there is """"no evidence"""" of collusion w/ Russia and Trump.""",Trump,Russia
2017-05-11,-0.041666667,"Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo... https://t.co/hm4U54DCQO",Trump,Russia
2017-05-11,-0.041666667,"Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo... https://t.co/hm4U54DCQO",Trump,Ukraine
2017-05-11,-0.05,Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,Trump,Russia
2017-05-12,0.0625,"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",Trump,China
2017-05-12,-0.025,"Again, the story that there was collusion between the Russians &, Trump campaign was fabricated by Dems as an excuse for losing the election.",Trump,Russia
2017-05-16,0.8,"...to terrorism and airline flight safety. Humanitarian reasons, plus I want Russia to greatly step up their fight against ISIS &, terrorism.",Trump,Russia
2017-05-16,0.161904762,"As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do, facts pertaining....",Trump,Russia
2017-05-29,0.217708333,"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",Trump,China
2017-05-29,0.217708333,"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",Trump,North Korea
2017-05-30,-0.215333333,"We have a MASSIVE trade deficit with Germany, plus they pay FAR LESS than they should on NATO &, military. Very bad for U.S. This will change",Trump,Germany
2017-05-30,-0.2625,"Russian officials must be laughing at the U.S. &, how a lame excuse for why the Dems lost the election has taken over the Fake News.",Trump,Russia
2017-05-31,0,"So now it is reported that the Democrats, who have excoriated Carter Page about Russia, don't want him to testify. He blows away their....",Trump,Russia
2017-06-15,0.6,"They made up a phony collusion with the Russians story, found zero proof, so now they go for obstruction of justice on the phony story. Nice",Trump,Russia
2017-06-15,0,"Why is that Hillary Clintons family and Dems dealings with Russia are not looked at, but my non-dealings are?",Trump,Russia
2017-06-16,-0.0625,"""After 7 months of investigations &, committee hearings about my """"collusion with the Russians,""""  nobody has been able to show any proof. Sad!""",Trump,Russia
2017-06-17,0,Thoughts and prayers with the sailors of USS Fitzgerald and their families. Thank you to our Japanese allies for th... https://t.co/BBvmTFxVkk,Trump,Japan
2017-06-20,0.2125,"While I greatly appreciate the efforts of President Xi &, China to help with North Korea, it has not worked out. At least I know China tried!",Trump,China
2017-06-20,0.2125,The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: https://t.co/Rvm11ZbPk7,Trump,North Korea
2017-06-20,0.2125,"While I greatly appreciate the efforts of President Xi &, China to help with North Korea, it has not worked out. At least I know China tried!",Trump,North Korea
2017-06-21,0.8,It was a great honor to welcome President Petro Poroshenko of Ukraine to the @WhiteHouse today with @VP Pence.➡️... https://t.co/J1ulOd6pYQ,Trump,Ukraine
2017-06-22,0.1875,"Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump &, Russia.",Trump,Russia
2017-06-22,0.089285714,"Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!",Trump,Mexico
2017-06-22,0.089285714,"Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!",Trump,Syria
2017-06-22,-0.291666667,"By the way, if Russia was working so hard on the 2016 Election, it all took place during the Obama Admin. Why didn't they stop them?",Trump,Russia
2017-06-24,0.1,Just out: The Obama Administration knew far in advance of November 8th about election meddling by Russia. Did nothing about it. WHY?,Trump,Russia
2017-06-24,0,"""Obama Administration official said they """"choked"""" when it came to acting on Russian meddling of election. They didn't want to hurt Hillary?""",Trump,Russia
2017-06-24,-0.0625,"Since the Obama Administration was told way before the 2016 Election that the Russians were meddling, why no action? Focus on them, not T!",Trump,Russia
2017-06-26,0.35,The reason that President Obama did NOTHING about Russia after being notified by the CIA of meddling is that he expected Clinton would win..,Trump,Russia
2017-06-26,0.1,The real story is that President Obama did NOTHING after being informed in August about Russian meddling. With 4 months looking at Russia...,Trump,Russia
2017-06-27,-0.19,"""Wow, CNN had to retract big story on """"Russia,"""" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!""",Trump,Russia
2017-06-27,-0.218888889,Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!,Trump,Russia
2017-06-29,0.211590909,New Sugar deal negotiated with Mexico is a very good one for both Mexico and the U.S. Had no deal for many years which hurt U.S. badly.,Trump,Mexico
2017-06-29,0,"""""""Mattis Says Trump's Warning Stopped Chemical Weapons Attack In Syria"""" https://t.co/XL9LLNKh8i""",Trump,Syria
2017-06-30,0.526818182,Just finished a very good meeting with the President of South Korea. Many subjects discussed including North Korea and new trade deal!,Trump,North Korea
